,Artist,Rating,Song,Year
62,Bill Pursell,63,Our Winter Love,1963
63,Tony Bennett,64,I Wanna Be Around,1963
64,Miracles,65,You’ve Really Got A Hold On Me,1963
65,Jaynetts,66,Sally Go ‘Round The Roses,1963
66,Sam Cooke,67,Little Red Rooster,1963
67,Crystals,68,Then He Kissed Me,1963
68,Elvis Presley,69,(You’re The) Devil In Disguise,1963
69,Nat King Cole,70,Those Lazy Hazy Crazy Days Of Summer,1963
70,Jackie Wilson,71,Baby Workout,1963
71,Marvin Gaye,72,Pride And Joy,1963
72,Rufus Thomas,73,Walking The Dog,1963
73,Ned Miller,74,From A Jack To A King,1963
74,Drifters,75,Up On The Roof,1963
75,Johnny Mathis,76,What Will My Mary Say,1963
76,Jan Bradley,77,Mama Didn’t Lie,1963
77,Bobby Vee,78,The Night Has A Thousand Eyes,1963
78,The Cookies,79,Don’t Say Nothin’ Bad About My Baby,1963
79,Johnny Cash,80,Ring Of Fire,1963
80,Doris Troy,81,Just One Look,1963
81,Allan Sherman,82,"Hello Muddah, Hello Fadduh! (A Letter From Camp)",1963
82,Lesley Gore,83,Judy’s Turn To Cry,1963
83,Roll Harris,84,"Tie Me Kangaroo Down, Sport",1963
84,Miracles,85,Mickey’s Monkey,1963
85,Dion,86,"Donna, The Prima Donna",1963
86,Nat King Cole,87,"That Sunday, That Summer",1963
87,Sam Cooke,88,Another Saturday Night,1963
88,Al Martino,89,"Painted, Tainted Rose",1963
89,Dixiebelles With Cornbread and Jerry,90,(Down At) Papa Joe’s,1963
90,Steve Lawrence,91,Go Away Little Girl,1963
91,Ray Charles,92,Take These Chains From My Heart,1963
92,Sunny and The Sunglows,93,Talk To Me,1963
93,Martha and The Vandellas,94,Come And Get These Memories,1963
94,Elvis Presley,95,Bossa Nova Baby,1963
95,Dee Dee Sharp,96,Do The Bird,1963
96,Beach Boys,97,Shut Down,1963
97,Chiffons,98,One Fine Day,1963
98,Bobby Bare,99,500 Miles Away From Home,1963
99,Del Shannon,100,Little Town Flirt,1963
0,Beatles,1,I Want To Hold Your Hand,1964
1,Beatles,2,She Loves You,1964
2,Louis Armstrong,3,"Hello, Dolly!",1964
3,Roy Orbison,4,"Oh, Pretty Woman",1964
4,Beach Boys,5,I Get Around,1964
5,Dean Martin,6,Everybody Loves Somebody,1964
6,Mary Wells,7,My Guy,1964
7,Gale Garnett,8,We’ll Sing In The Sunshine,1964
8,J. Frank Wilson and The Cavaliers,9,Last Kiss,1964
9,Supremes,10,Where Did Our Love Go,1964
10,Barbara Streissand,11,People,1964
11,Al Hirt,12,Java,1964
12,Beatles,13,A Hard Day’s Night,1964
13,Beatles,14,Love Me Do,1964
14,Manfred Mann,15,Do Wah Diddy Diddy,1964
15,Beatles,16,Please Please Me,1964
16,Martha and The Vandellas,17,Dancing In The Street,1964
17,Billy J. Kramer and The Dakotas,18,Little Children,1964
18,Ray Charles Singers,19,Love Me With All Your Heart,1964
19,Drifters,20,Under The Boardwalk,1964
20,Dixie Cups,21,Chapel Of Love,1964
21,Terry Stafford,22,Suspicion,1964
22,Dave Clark Five,23,Glad All Over,1964
23,Four Seasons,24,Rag Doll,1964
24,Four Seasons,25,Dawn (Go Away),1964
25,Newbeats,26,Bread And Butter,1964
26,Gene Pitney,27,It Hurts To Be In Love,1964
27,Jan and Dean,28,Dead Man’s Curve,1964
28,Jay and The Americans,29,Come A Little Bit Closer,1964
29,Peter and Gordon,30,A World Without Love,1964
30,Honeycombs,31,Have I The Right?,1964
31,Serendipity Singers,32,Don’t Let The Rain Come Down (Crooked Little Man),1964
32,Supremes,33,Baby Love,1964
33,Betty Everett and Jerry Butler,34,Let It Be Me,1964
34,Dusty Springfield,35,Wishin’ And Hopin’,1964
35,Lesley Gore,36,You Don’t Own Me,1964
36,Dionne Warwick,37,Walk On By,1964
37,Animals,38,The House Of The Rising Sun,1964
38,Ronny and The Daytona,39,G.T.O.,1964
39,Beatles,40,Twist And Shout,1964
40,Johnny Rivers,41,Memphis,1964
41,Danny Williams,42,White On White,1964
42,Rip Chords,43,Hey Little Cobra,1964
43,Betty Everett,44,The Shoop Shoop Song (It’s In His Kiss),1964
44,Dave Clark Five,45,Bits And Pieces,1964
45,Millie Small,46,My Boy Lollipop,1964
46,Major Lance,47,"Um, Um, Um, Um, Um, Um",1964
47,Jan and Dean,48,The Little Old Lady,1964
48,Gerry and The Pacemakers,49,Don’t Let The Sun Catch You Crying,1964
49,Chad and Jeremy,50,A Summer Song,1964
50,Stan Getz and Astrud Gilberto,51,The Girl From Ipanema,1964
51,Beatles,52,Can’t Buy Me Love,1964
52,Shangri-Las,53,Remember (Walkin’ In The Sand),1964
53,Bobby Freeman,54,C’mon And Swim,1964
54,Beatles,55,Do You Want To Know A Secret,1964
55,Impressions,56,Keep On Pushing,1964
56,Four Tops,57,Baby I Need Your Loving,1964
57,Diane Renay,58,Navy Blue,1964
58,Bachelors,59,Diane,1964
59,Marketts,60,Out Of Limits,1964
60,Hondells,61,Little Honda,1964
61,Bobby Goldsboro,62,See The Funny Little Clown,1964
62,Dave Clark Five,63,Because,1964
63,Reflections,64,(Just Like) Romeo And Juliet,1964
64,Rick Nelson,65,For You,1964
65,New Christy Minstrels,66,Today,1964
66,Dave Clark Five,67,Can’t You See That She’s Mine,1964
67,Shangri-Las,68,Leader Of The Pack,1964
68,Joe Hinton,69,Funny,1964
69,Temptations,70,The Way You Do The Things You Do,1964
70,Dionne Warwick,71,Anyone Who Had A Heart,1964
71,Al Martino,72,I Love You More And More Every Day,1964
72,Roy Orbison,73,It’s Over,1964
73,Four Seasons,74,Ronnie,1964
74,Trashmen,75,Surfin’ Bird,1964
75,Tams,76,What Kind Of Fool (Do You Think I Am),1964
76,Dean Martin,77,The Door Is Still Open To My Heart,1964
77,Kinks,78,You Really Got Me,1964
78,Sammy Davis Jr.,79,The Shelter Of Your Arms,1964
79,Impressions,80,I’m So Proud,1964
80,Jelly Beans,81,I Wanna Love Him So Bad,1964
81,Roger Miller,82,Chug-a-lug,1964
82,Roger Miller,83,Dang Me,1964
83,Al Hirt,84,Cotton Candy,1964
84,Nancy Wilson,85,(You Don’t Know) How Glad I Am,1964
85,Kingsmen,86,Money,1964
86,Searchers,87,Don’t Throw Your Love Away,1964
87,Tommy Tucker,88,Hi-heel Sneakers,1964
88,Gerry and The Pacemakers,89,How Do You Do It!,1964
89,The Ventures,90,Walk Don’t Run,1964
90,Dave Clark Five,91,Do You Love Me,1964
91,"Robert Maxwell, His Harp and Orch.",92,Shangri-La,1964
92,Gene Simmons,93,Haunted Houses,1964
93,Jimmy Hughes,94,Steal Away,1964
94,Beatles,95,I Saw Her Standing There,1964
95,Andy Williams,96,A Fool Never Learns,1964
96,Billy J. Kramer and The Dakotas,97,Bad To Me,1964
97,Bobby Vinton,98,There! I’ve Said It Again,1964
98,The Kingsmen,99,Louie Louie,1964
99,Searchers,100,Needles And Pins,1964
0,Sam The Sham and The Pharaohs,1,Wooly Bully,1965
1,Four Tops,2,I Can’t Help Myself (Sugar Pie Honey Bunch),1965
2,Rolling Stones,3,(I Can’t Get No) Satisfaction,1965
3,We Five,4,You Were On My Mind,1965
4,Righteous Brothers,5,You’ve Lost That Lovin’ Feelin’,1965
5,Petula Clark,6,Downtown,1965
6,Beatles,7,Help!,1965
7,Herman’s Hermits,8,Can’t You Hear My Heartbeat,1965
8,Elvis Presley,9,Crying In The Chapel,1965
9,Temptations,10,My Girl,1965
10,Beach Boys,11,"Help Me, Rhonda",1965
11,Roger Miller,12,King Of The Road,1965
12,Jewel Aikens,13,The Birds And The Bees,1965
13,Mel Carter,14,"Hold Me, Thrill Me, Kiss Me",1965
14,Jr. Walker and The All Stars,15,Shotgun,1965
15,Sonny and Cher,16,I Got You Babe,1965
16,Gary Lewis and The Playboys,17,This Diamond Ring,1965
17,Ramsey Lewis Trio,18,The “In” Crowd,1965
18,Herman’s Hermits,19,Mrs. Brown You’ve Got A Lovely Daughter,1965
19,Supremes,20,Stop! In The Name Of Love,1965
20,Righteous Brothers,21,Unchained Melody,1965
21,Herman’s Hermits,22,Silhouettes,1965
22,Seekers,23,I’ll Never Find Another You,1965
23,Jay and The Americans,24,"Cara, Mia",1965
24,Byrds,25,Mr. Tambourine Man,1965
